iShares Russell 1000 ETF
Fund Holdings as of,"Nov 07, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SHW","SHERWIN WILLIAMS","Materials","Equity","56,724,061.12","0.13","56,724,061.12","166,757.00","340.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","56,109,550.52","0.13","56,109,550.52","617,131.00","90.92","United States","NASDAQ","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","55,150,345.32","0.12","55,150,345.32","503,013.00","109.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","55,115,367.30","0.12","55,115,367.30","96,930.00","568.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","54,534,930.00","0.12","54,534,930.00","482,610.00","113.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","53,981,811.54","0.12","53,981,811.54","110,623.00","487.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","53,376,138.56","0.12","53,376,138.56","264,343.00","201.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","52,943,533.80","0.12","52,943,533.80","925,910.00","57.18","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","52,646,339.20","0.12","52,646,339.20","1,112,560.00","47.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","52,370,986.61","0.12","52,370,986.61","256,331.00","204.31","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","52,192,498.38","0.12","52,192,498.38","403,062.00","129.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","52,040,184.00","0.12","52,040,184.00","282,520.00","184.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","51,910,334.49","0.12","51,910,334.49","131,943.00","393.43","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","51,748,173.36","0.12","51,748,173.36","149,423.00","346.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","51,734,326.86","0.12","51,734,326.86","868,317.00","59.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","51,186,383.43","0.12","51,186,383.43","208,507.00","245.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","51,137,475.38","0.12","51,137,475.38","160,921.00","317.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","51,127,171.29","0.12","51,127,171.29","219,609.00","232.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
